Kingdom,Order,Genus,Species,Life stage,Primary Reference,Primary Reference Link,Secondary Reference,Secondary Reference Link
Animalia,,Drosophila,nigrosriparia,"Larva, adult","Hoffmann and Parsons, 1989; Davidson, 1990; Gibbs and Matzkin, 2001; Marron et al., 2003; Hoffmann et al., 2003; Bazinet et al., 2010; Thorat et al., 2012a,b; Davies et al., 2013; Thorat et al., 2016,b; Ferveur et al., 2018",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Drosophila,nepalensis,"Larva, adult","Hoffmann and Parsons, 1989; Davidson, 1990; Gibbs and Matzkin, 2001; Marron et al., 2003; Hoffmann et al., 2003; Bazinet et al., 2010; Thorat et al., 2012a,b; Davies et al., 2013; Thorat et al., 2016,b; Ferveur et al., 2018",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Drosophila,takahashii,"Larva, adult","Hoffmann and Parsons, 1989; Davidson, 1990; Gibbs and Matzkin, 2001; Marron et al., 2003; Hoffmann et al., 2003; Bazinet et al., 2010; Thorat et al., 2012a,b; Davies et al., 2013; Thorat et al., 2016,b; Ferveur et al., 2018",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Drosophila,immigrants,"Larva, adult","Hoffmann and Parsons, 1989; Davidson, 1990; Gibbs and Matzkin, 2001; Marron et al., 2003; Hoffmann et al., 2003; Bazinet et al., 2010; Thorat et al., 2012a,b; Davies et al., 2013; Thorat et al., 2016,b; Ferveur et al., 2018",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Drosophila,nasuta,"Larva, adult","Hoffmann and Parsons, 1989; Davidson, 1990; Gibbs and Matzkin, 2001; Marron et al., 2003; Hoffmann et al., 2003; Bazinet et al., 2010; Thorat et al., 2012a,b; Davies et al., 2013; Thorat et al., 2016,b; Ferveur et al., 2018",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Drosophila,melanogaster,"Larva, adult","Hoffmann and Parsons, 1989; Davidson, 1990; Gibbs and Matzkin, 2001; Marron et al., 2003; Hoffmann et al., 2003; Bazinet et al., 2010; Thorat et al., 2012a,b; Davies et al., 2013; Thorat et al., 2016,b; Ferveur et al., 2018",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Drosophila,simulans,"Larva, adult","Hoffmann and Parsons, 1989; Davidson, 1990; Gibbs and Matzkin, 2001; Marron et al., 2003; Hoffmann et al., 2003; Bazinet et al., 2010; Thorat et al., 2012a,b; Davies et al., 2013; Thorat et al., 2016,b; Ferveur et al., 2018",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Coleoptera,Sarcophaga,bullata,Larva,"Yoder et al., 2018",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Acanthoclesiles,obtectus,Egg,"Bienmont et al., 1981; Simmelaere, 2007",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Longitarus,bethea,Egg,"Bienmont et al., 1981; Simmelaere, 2007",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Peltodytes,muticus,Adult,"Arlian and Staiger, 1979; Pallares et al., 2016",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Mezim,aquatic,Adult,"Arlian and Staiger, 1979; Pallares et al., 2016",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Enochohus,halophilus,Adult,"Arlian and Staiger, 1979; Pallares et al., 2016",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Enochohus,politus,Adult,"Arlian and Staiger, 1979; Pallares et al., 2016",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Enochohus,bicolor,Adult,"Arlian and Staiger, 1979; Pallares et al., 2016",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Enochohus,jesusaribasi,Adult,"Arlian and Staiger, 1979; Pallares et al., 2016",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Siphonaptera,Solpugilis,vulticulus,"Egg, larva, pupa, adult","Cooke and Skewes, 1988; Silverman and Rust, 1983",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Siphonaptera,Ctenocephalides,felis,"Egg, larva, pupa, adult","Cooke and Skewes, 1988; Silverman and Rust, 1983",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Fungi ,Ascomycota,Zygosaccharomyces,bisporus,,,,,
Fungi ,Ascomycota,Candida,halonitratophila,,,,,
Fungi ,Ascomycota,Candida,versatilis,,,,,
