"Rose A. Marks, Jill M. Farrant, D. Nicholas McLetchie, and Robert VanBuren - American Journal of Botany - 2020 - Appendix S1",,,,,,,,,,,
Division,Class,Order,Family,Genus,Species,Minimum RH (%),Minimum RWC (%),Homoi vs poikilochlorophyllous,Evidence of priming or hardening ,Tissues differ in recovery,Citation
Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Eurhynchium,pumilum,30,,homoi,priming,,Wood 2007
Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Eurhynchium,speciosum,30,,homoi,priming,,Wood 2007
Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Eurhynchium,straitum,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Homaliodendron,scapellifolium,30,,homoi,,,Hosokawa & Kubota 1957
Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Homalothecium,sericeum,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Meteoridium,remotifolium,80,,homoi,,,Leon-Vargas et al 2006
Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Scorpiurium,circinatum,30,,homoi,,,Dilks and Proctor 1974
Bryophyta,Bryopsida,Hypnales,Climaciaceae,Climacium,dendroides,75,,homoi,priming,,Wood 2007
Bryophyta,Bryopsida,Hypnales,Fabroniaceae,Fabronia,ciliaris,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Hypnales,Fontinalaceae,Fontinalis,antipyretica,30,,homoi,,,Cruz de Carvalho 2019
Bryophyta,Bryopsida,Hypnales,Fontinalaceae,Fontinalis,novae-angliae,30,,homoi,,,Glime and Carr 1974
Bryophyta,Bryopsida,Hypnales,Fontinalaceae,Fontinalis,squamosa,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Hypnales,Hylocomiaceae,Hylocomium,cavifolium,30,,homoi,,,Hosokawa & Kubota 1957
Bryophyta,Bryopsida,Hypnales,Hylocomiaceae,Hylocomium,splendens,30,,homoi,priming,,Dilks and Proctor 1974
Bryophyta,Bryopsida,Hypnales,Hylocomiaceae,Pleurozium,schreberi,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Hypnales,Hylocomiaceae,Rhytidiadelphus,loreus,30,,homoi,,,"Dilks and Proctor 1974, Proctor 2010"
Bryophyta,Bryopsida,Hypnales,Hylocomiaceae,Rhytidiadelphus,squarrosus,30,,homoi,,,Proctor 2010
